woonplaats,area_ha
Legemeer,297.4820064291022
Nieuwebrug,28.284408203149837
Oldeouwer,876.4707948291829
Ouwsterhaule,201.78932261700206
Ouwster-Nijega,202.82099586624923
Rohel,623.5458066619497
Rotstergaast,993.3870360651975
Rotsterhaule,978.8599147877987
Rottum,693.1348551001466
Scharsterbrug,687.0248956287504
Sint Nicolaasga,1188.994897446946
Sintjohannesga,684.534721843907
Snikzwaag,147.81461918494986
Terkaple,424.6493835334983
Teroele,290.871162184149
Tjerkgaast,1923.9241301330042
Vegelinsoord,1601.7867088093994
Eagum,172.2112374391505
Akkrum,1191.2581841585986
Dearsum,444.66008096129957
Friens,316.545388135901
Idaerd,195.97069420259996
Jirnsum,910.8235158289496
Aldeboarn,2723.620836952805
Poppenwier,483.17183960879913
Raerd,766.5170601530984
Reduzum,723.1673985291494
Sibrandabuorren,398.5383829861485
Terherne,915.2713999439508
Tersoal,463.182049923251
Wergea,1300.9540228360952
Warstiens,270.7518869776007
Warten,2220.455431818401
Hollum,1204.49126605276
Ballum,1538.0697702780042
Nes,2554.5225879290224
Buren,2031.6390947661325
Oosterend,3376.1333712789537
Hoorn,484.7768173743968
Lies,392.6569531319565
Formerum,701.3629413922291
Landerum,94.08209926645547
Midsland,512.9829257961495
Striep,105.95824691692673
Baaiduinen,81.16845906145018
Kaard,28.918625195899892
Hee,145.63285484480673
Kinnum,26.32406565516529
West-Terschelling,2815.6036871987726
Bitgum,252.45757978749978
Bitgummole,511.02710545365244
Berltsum,719.4476346291473
Blessum,265.2595626817991
Boksum,271.1167970959997
Deinum,473.4518242470013
Ingelum,219.25341222474822
Dronryp,1582.9374589913455
Marsum,738.2096754201991
Menaam,1357.6959935526013
Skingen,183.48179342940406
Slappeterp,252.4613121634017
Wier,176.61239561334895
Harlingen,1799.2096314711698
Midlum,257.89938707410323
Wijnaldum,527.468751146787
Augustinusga,764.0354107076004
Boelenslaan,718.7270081892996
Buitenpost,1838.1666801145516
Drogeham,1093.9672110319468
Gerkesklooster,574.4585057215519
Harkema,628.4967351489508
Kootstertille,757.7685888411968
Stroobos,282.30122930220347
Surhuisterveen,745.9685155236481
Surhuizum,1493.2435843813964
Twijzel,901.6493898993513
Twijzelerheide,599.3003520395001
Blije,1237.3763047569494
Burdaard,689.1370785842483
Ferwert,1799.039261790914
Ginnum,199.87123859565187
Hallum,2081.3939819884044
Hegebeintum,460.93343919629865
Jannum,329.87504659520243
Jislum,192.5613953511994
Lichtaard,173.65869679239898
Marrum,2075.4671395168416
Reitsum,304.1848456976505
Wânswert,638.2884944337993
Alde Leie,172.5261431732503
Britsum,407.94321899959937
Feinsum,341.92925200000207
Hijum,351.8175776219978
Jelsum,520.652422218401
Koarnjum,510.84127436840134
Stiens,1840.980312221141
Broeksterwâld,610.3672277339577
Damwâld,1354.791401796601
De Falom,366.41904541000025
Driezum,855.3665529066501
Wâlterswâld,693.0658315181505
Rinsumageast,1646.055066135456
Feanwâlden,1397.7919439813893
Readtsjerk,694.781997018245
De Westereen,818.6860483899484
Sibrandahûs,315.36728830979854
Boornbergum,843.6491946436048
De Tike,314.07254224159425
De Veenhoop,951.4971159197
De Wilgen,431.8056396618426
Drachten,2753.970969467957
Drachtstercompagnie,1086.629568746451
Goëngahuizen,810.8632810436469
Houtigehage,338.8843021450029
Kortehemmen,242.5134043343484
Nijega,891.8332228290981
Opeinde,898.7768646798086
Rottevalle,648.6473372059455
Smalle Ee,220.6125525443047
Vlieland,4249.190175283868
Augsbuert-Lytsewâld,452.78194907740203
Burum,894.7765608529471
Kollum,1458.9284752411413
Kollumerpomp,1802.32926536566
Kollumersweach,1105.4661147445988
Munnekezijl,1857.6087854607224
Aldwâld,931.0518080985029
De Trieme,243.12307187740063
Feankleaster,252.63093931334745
Warfstermolen,1109.6412007313143
Westergeast,978.7313218735993
Sweagerbosk,49.65767976730076
Oudebildtzijl,1628.8172934468982
Westhoek,387.0146078911486
Nij Altoenae,16.549136725100144
St.-Annaparochie,2647.828198600301
St.-Jacobiparochie,2318.592534594273
Minnertsga,1202.6436899722005
Vrouwenparochie,1292.1148458277505
Bakkeveen,2034.2271976796947
Beetsterzwaag,1478.5673043347088
Drachten-Azeven,72.39525733324925
Frieschepalen,442.1610652866517
Gorredijk,1329.985330161502
Hemrik,1089.2662699356495
Jonkerslân,465.1275524876475
Langezwaag,1316.6876624378403
Lippenhuizen,1614.7413927188902
Luxwoude,506.82087982381114
Nij Beets,1911.0478170967474
Olterterp,620.4110968687964
Siegerswoude,1461.7857898724042
Terwispel,1654.604643756395
Tijnje,1351.3703396445064
Ureterp,2551.389769095053
Wijnjewoude,2863.5616273996543
Aalsum,439.3853622583473
Eanjum,2043.1844308514692
Boarnwert,402.59285407929985
Brantgum,359.14891798425367
Dokkum,1006.4294046963017
Ie,1325.3935302222028
Ingwierrum,1241.2595508117997
Foudgum,339.01375421464724
Hantum,351.3716276766487
Hantumerútbuorren,408.4134249835508
Hantumhuzen,487.4752052302506
Hiaure,246.67195928700255
Holwert,1859.2193862529027
Jouswier,255.24101959655164
Ljussens,456.4184077835881
Mitselwier,365.58194686704553
Moddergat,190.9941554854812
Moarre,467.77543295939967
Nijewier,486.6670472939997
Easternijtsjerk,667.9964716294074
Eastrum,425.7275806227524
Peazens,362.3554471537379
Raard,328.2763430970504
Ternaard,1042.1250425994936
Waaxens,181.45956028354948
Wetsens,265.1596265997998
Wierum,439.5445122124121
Sneek,2045.781943906752
Loënga,198.46998187580027
Offingawier,922.7979066377482
Nijehaske,44.32081721169981
Oudehaske,795.5552279746947
Heerenveen,2593.786251414604
Wirdum,786.9321082804489
Haule,1470.1990229739006
Haulerwijk,1037.739436765897
Tirns,471.0773235492023
Ysbrechtum,181.69851761415052
Grou,2517.156657421415
Leeuwarden,5899.5623649470035
Goutum,151.35460892254991
